reporting_area,pox_cases,pox_deaths,case_year,Vaccine/Exemption,Dose,Geography Type,geography,School Year,Estimate (%),Population Size,Percent Surveyed,Number of Exemptions,Survey Type,Year
United States,8953,3,2016,"Varicella, unknown disease history",1 Dose,National,United States,2016-17,97.5,,,,,2016
United States,8953,3,2016,"Varicella, unknown disease history",1 Dose,National,United States,2016-17,97.5,,,,,2016
United States,8953,3,2016,"Varicella, unknown disease history",1 Dose,National,United States,2016-17,97.5,,,,,2016
Wyoming,14,N,2016,"Varicella, unknown disease history",1 Dose,States,Wyoming,2016-17,,,,,Not conducted,2016
Wyoming,14,N,2016,"Varicella, unknown disease history",1 Dose,States,Wyoming,2016-17,,,,,Not conducted,2016
Wyoming,14,N,2016,"Varicella, unknown disease history",1 Dose,States,Wyoming,2016-17,,,,,Not conducted,2016
Wyoming,14,N,2016,"Varicella, unknown disease history",1 Dose,States,Wyoming,2016-17,,,,,Not conducted,2016
Alabama,94,0,2017,"Varicella, unknown disease history",1 Dose,States,Alabama,2017-18,92.7,57245.00,100,,Census,2017
Alabama,94,0,2017,"Varicella, unknown disease history",1 Dose,States,Alabama,2017-18,92.7,57245.00,100,,Census,2017
Alabama,94,0,2017,"Varicella, unknown disease history",1 Dose,States,Alabama,2017-18,92.7,57245.00,100,,Census,2017
Alabama,94,0,2017,"Varicella, unknown disease history",1 Dose,States,Alabama,2017-18,92.7,57245.00,100,,Census,2017
Arizona,189,0,2017,"Varicella, unknown disease history",1 Dose,States,Arizona,2017-18,96.2,81710.00,100,,Census,2017
Arizona,189,0,2017,"Varicella, unknown disease history",1 Dose,States,Arizona,2017-18,96.2,81710.00,100,,Census,2017
Arizona,189,0,2017,"Varicella, unknown disease history",1 Dose,States,Arizona,2017-18,96.2,81710.00,100,,Census,2017
Arizona,189,0,2017,"Varicella, unknown disease history",1 Dose,States,Arizona,2017-18,96.2,81710.00,100,,Census,2017
California,42,0,2017,"Varicella, unknown disease history",1 Dose,States,California,2017-18,98.2,574702.00,100,,Census,2017
California,42,0,2017,"Varicella, unknown disease history",1 Dose,States,California,2017-18,98.2,574702.00,100,,Census,2017
California,42,0,2017,"Varicella, unknown disease history",1 Dose,States,California,2017-18,98.2,574702.00,100,,Census,2017
California,42,0,2017,"Varicella, unknown disease history",1 Dose,States,California,2017-18,98.2,574702.00,100,,Census,2017
Hawaii,61,0,2017,"Varicella, unknown disease history",1 Dose,States,Hawaii,2017-18,96.2,16325.00,6.6,,Stratified 2-stage cluster sample,2017
Hawaii,61,0,2017,"Varicella, unknown disease history",1 Dose,States,Hawaii,2017-18,96.2,16325.00,6.6,,Stratified 2-stage cluster sample,2017
Hawaii,61,0,2017,"Varicella, unknown disease history",1 Dose,States,Hawaii,2017-18,96.2,16325.00,6.6,,Stratified 2-stage cluster sample,2017
Hawaii,61,0,2017,"Varicella, unknown disease history",1 Dose,States,Hawaii,2017-18,96.2,16325.00,6.6,,Stratified 2-stage cluster sample,2017
Maine,198,0,2017,"Varicella, unknown disease history",1 Dose,States,Maine,2017-18,96.5,13255.00,95.9,,Census ,2017
Maine,198,0,2017,"Varicella, unknown disease history",1 Dose,States,Maine,2017-18,96.5,13255.00,95.9,,Census ,2017
Maine,198,0,2017,"Varicella, unknown disease history",1 Dose,States,Maine,2017-18,96.5,13255.00,95.9,,Census ,2017
Maine,198,0,2017,"Varicella, unknown disease history",1 Dose,States,Maine,2017-18,96.5,13255.00,95.9,,Census ,2017
New Jersey,480,0,2017,"Varicella, unknown disease history",1 Dose,States,New Jersey,2017-18,96.1,107630.00,100,,Census,2017
New Jersey,480,0,2017,"Varicella, unknown disease history",1 Dose,States,New Jersey,2017-18,96.1,107630.00,100,,Census,2017
New Jersey,480,0,2017,"Varicella, unknown disease history",1 Dose,States,New Jersey,2017-18,96.1,107630.00,100,,Census,2017
New Jersey,480,0,2017,"Varicella, unknown disease history",1 Dose,States,New Jersey,2017-18,96.1,107630.00,100,,Census,2017
Oklahoma,N,0,2017,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2017-18,96.8,53898.00,92.1,,Census (public). voluntary response (private),2017
Oklahoma,N,0,2017,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2017-18,96.8,53898.00,92.1,,Census (public). voluntary response (private),2017
Oklahoma,N,0,2017,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2017-18,96.8,53898.00,92.1,,Census (public). voluntary response (private),2017
Oklahoma,N,0,2017,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2017-18,96.8,53898.00,92.1,,Census (public). voluntary response (private),2017
Oregon,N,1,2017,"Varicella, unknown disease history",1 Dose,States,Oregon,2017-18,94.4,45818.00,100,,Census,2017
Oregon,N,1,2017,"Varicella, unknown disease history",1 Dose,States,Oregon,2017-18,94.4,45818.00,100,,Census,2017
Oregon,N,1,2017,"Varicella, unknown disease history",1 Dose,States,Oregon,2017-18,94.4,45818.00,100,,Census,2017
Oregon,N,1,2017,"Varicella, unknown disease history",1 Dose,States,Oregon,2017-18,94.4,45818.00,100,,Census,2017
United States,8775,2,2017,"Varicella, unknown disease history",1 Dose,National,United States,2017-18,97.1,,,,,2017
United States,8775,2,2017,"Varicella, unknown disease history",1 Dose,National,United States,2017-18,97.1,,,,,2017
United States,8775,2,2017,"Varicella, unknown disease history",1 Dose,National,United States,2017-18,97.1,,,,,2017
United States,8775,2,2017,"Varicella, unknown disease history",1 Dose,National,United States,2017-18,97.1,,,,,2017
Wyoming,11,0,2017,"Varicella, unknown disease history",1 Dose,States,Wyoming,2017-18,,,,,Not conducted ,2017
Wyoming,11,0,2017,"Varicella, unknown disease history",1 Dose,States,Wyoming,2017-18,,,,,Not conducted ,2017
Wyoming,11,0,2017,"Varicella, unknown disease history",1 Dose,States,Wyoming,2017-18,,,,,Not conducted ,2017
Wyoming,11,0,2017,"Varicella, unknown disease history",1 Dose,States,Wyoming,2017-18,,,,,Not conducted ,2017
Alabama,78,0,2018,"Varicella, unknown disease history",1 Dose,States,Alabama,2018-19,90.6,77739.00,100,,Census,2018
Alabama,78,0,2018,"Varicella, unknown disease history",1 Dose,States,Alabama,2018-19,90.6,77739.00,100,,Census,2018
Alabama,78,0,2018,"Varicella, unknown disease history",1 Dose,States,Alabama,2018-19,90.6,77739.00,100,,Census,2018
Alabama,78,0,2018,"Varicella, unknown disease history",1 Dose,States,Alabama,2018-19,90.6,77739.00,100,,Census,2018
Arizona,245,0,2018,"Varicella, unknown disease history",1 Dose,States,Arizona,2018-19,95.6,79981.00,100,,Census,2018
Arizona,245,0,2018,"Varicella, unknown disease history",1 Dose,States,Arizona,2018-19,95.6,79981.00,100,,Census,2018
Arizona,245,0,2018,"Varicella, unknown disease history",1 Dose,States,Arizona,2018-19,95.6,79981.00,100,,Census,2018
Arizona,245,0,2018,"Varicella, unknown disease history",1 Dose,States,Arizona,2018-19,95.6,79981.00,100,,Census,2018
California,40,1,2018,"Varicella, unknown disease history",1 Dose,States,California,2018-19,97.9,568947.00,97.7,,Census,2018
California,40,1,2018,"Varicella, unknown disease history",1 Dose,States,California,2018-19,97.9,568947.00,97.7,,Census,2018
California,40,1,2018,"Varicella, unknown disease history",1 Dose,States,California,2018-19,97.9,568947.00,97.7,,Census,2018
California,40,1,2018,"Varicella, unknown disease history",1 Dose,States,California,2018-19,97.9,568947.00,97.7,,Census,2018
Hawaii,39,0,2018,"Varicella, unknown disease history",1 Dose,States,Hawaii,2018-19,94,16051.00,6.7,,Stratified 2-stage cluster sample,2018
Hawaii,39,0,2018,"Varicella, unknown disease history",1 Dose,States,Hawaii,2018-19,94,16051.00,6.7,,Stratified 2-stage cluster sample,2018
Hawaii,39,0,2018,"Varicella, unknown disease history",1 Dose,States,Hawaii,2018-19,94,16051.00,6.7,,Stratified 2-stage cluster sample,2018
Hawaii,39,0,2018,"Varicella, unknown disease history",1 Dose,States,Hawaii,2018-19,94,16051.00,6.7,,Stratified 2-stage cluster sample,2018
Maine,252,0,2018,"Varicella, unknown disease history",1 Dose,States,Maine,2018-19,95.9,13419.00,95.9,,Census,2018
Maine,252,0,2018,"Varicella, unknown disease history",1 Dose,States,Maine,2018-19,95.9,13419.00,95.9,,Census,2018
Maine,252,0,2018,"Varicella, unknown disease history",1 Dose,States,Maine,2018-19,95.9,13419.00,95.9,,Census,2018
Maine,252,0,2018,"Varicella, unknown disease history",1 Dose,States,Maine,2018-19,95.9,13419.00,95.9,,Census,2018
New Jersey,376,0,2018,"Varicella, unknown disease history",1 Dose,States,New Jersey,2018-19,95,109161.00,100,,Census,2018
New Jersey,376,0,2018,"Varicella, unknown disease history",1 Dose,States,New Jersey,2018-19,95,109161.00,100,,Census,2018
New Jersey,376,0,2018,"Varicella, unknown disease history",1 Dose,States,New Jersey,2018-19,95,109161.00,100,,Census,2018
New Jersey,376,0,2018,"Varicella, unknown disease history",1 Dose,States,New Jersey,2018-19,95,109161.00,100,,Census,2018
Oklahoma,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2018-19,95.8,54806.00,92.1,,Census (public). voluntary response (private),2018
Oklahoma,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2018-19,95.8,54806.00,92.1,,Census (public). voluntary response (private),2018
Oklahoma,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2018-19,95.8,54806.00,92.1,,Census (public). voluntary response (private),2018
Oklahoma,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2018-19,95.8,54806.00,92.1,,Census (public). voluntary response (private),2018
Oregon,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oregon,2018-19,94.3,45870.00,100,,Census,2018
Oregon,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oregon,2018-19,94.3,45870.00,100,,Census,2018
Oregon,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oregon,2018-19,94.3,45870.00,100,,Census,2018
Oregon,N,0,2018,"Varicella, unknown disease history",1 Dose,States,Oregon,2018-19,94.3,45870.00,100,,Census,2018
United States,8201,6,2018,"Varicella, unknown disease history",1 Dose,National,United States,2018-19,96.4,,,,,2018
United States,8201,6,2018,"Varicella, unknown disease history",1 Dose,National,United States,2018-19,96.4,,,,,2018
United States,8201,6,2018,"Varicella, unknown disease history",1 Dose,National,United States,2018-19,96.4,,,,,2018
United States,8201,6,2018,"Varicella, unknown disease history",1 Dose,National,United States,2018-19,96.4,,,,,2018
Alabama,92,0,2019,"Varicella, unknown disease history",1 Dose,States,Alabama,2019-20,86.6,59477.00,94.9,,Census,2019
Alabama,92,0,2019,"Varicella, unknown disease history",1 Dose,States,Alabama,2019-20,86.6,59477.00,94.9,,Census,2019
Alabama,92,0,2019,"Varicella, unknown disease history",1 Dose,States,Alabama,2019-20,86.6,59477.00,94.9,,Census,2019
Alabama,92,0,2019,"Varicella, unknown disease history",1 Dose,States,Alabama,2019-20,86.6,59477.00,94.9,,Census,2019
Alaska,36,0,2019,"Varicella, unknown disease history",1 Dose,States,Alaska,2019-20,NReq,10381.00,82.7,,Voluntary response,2019
Alaska,36,0,2019,"Varicella, unknown disease history",1 Dose,States,Alaska,2019-20,NReq,10381.00,82.7,,Voluntary response,2019
Alaska,36,0,2019,"Varicella, unknown disease history",1 Dose,States,Alaska,2019-20,NReq,10381.00,82.7,,Voluntary response,2019
Alaska,36,0,2019,"Varicella, unknown disease history",1 Dose,States,Alaska,2019-20,NReq,10381.00,82.7,,Voluntary response,2019
Arizona,307,0,2019,"Varicella, unknown disease history",1 Dose,States,Arizona,2019-20,95.3,83976.00,98.7,,Census (public). voluntary response (private),2019
Arizona,307,0,2019,"Varicella, unknown disease history",1 Dose,States,Arizona,2019-20,95.3,83976.00,98.7,,Census (public). voluntary response (private),2019
Arizona,307,0,2019,"Varicella, unknown disease history",1 Dose,States,Arizona,2019-20,95.3,83976.00,98.7,,Census (public). voluntary response (private),2019
Arizona,307,0,2019,"Varicella, unknown disease history",1 Dose,States,Arizona,2019-20,95.3,83976.00,98.7,,Census (public). voluntary response (private),2019
Arkansas,119,0,2019,"Varicella, unknown disease history",1 Dose,States,Arkansas,2019-20,NReq,39510.00,96.2,,Census (public). voluntary response (private),2019
Arkansas,119,0,2019,"Varicella, unknown disease history",1 Dose,States,Arkansas,2019-20,NReq,39510.00,96.2,,Census (public). voluntary response (private),2019
Arkansas,119,0,2019,"Varicella, unknown disease history",1 Dose,States,Arkansas,2019-20,NReq,39510.00,96.2,,Census (public). voluntary response (private),2019
Arkansas,119,0,2019,"Varicella, unknown disease history",1 Dose,States,Arkansas,2019-20,NReq,39510.00,96.2,,Census (public). voluntary response (private),2019
California,39,0,2019,"Varicella, unknown disease history",1 Dose,States,California,2019-20,NReq,566155.00,97.9,,Census,2019
California,39,0,2019,"Varicella, unknown disease history",1 Dose,States,California,2019-20,NReq,566155.00,97.9,,Census,2019
California,39,0,2019,"Varicella, unknown disease history",1 Dose,States,California,2019-20,NReq,566155.00,97.9,,Census,2019
California,39,0,2019,"Varicella, unknown disease history",1 Dose,States,California,2019-20,NReq,566155.00,97.9,,Census,2019
Colorado,250,0,2019,"Varicella, unknown disease history",1 Dose,States,Colorado,2019-20,NReq,69088.00,98.2,,Census,2019
Colorado,250,0,2019,"Varicella, unknown disease history",1 Dose,States,Colorado,2019-20,NReq,69088.00,98.2,,Census,2019
Colorado,250,0,2019,"Varicella, unknown disease history",1 Dose,States,Colorado,2019-20,NReq,69088.00,98.2,,Census,2019
Colorado,250,0,2019,"Varicella, unknown disease history",1 Dose,States,Colorado,2019-20,NReq,69088.00,98.2,,Census,2019
Connecticut,117,0,2019,"Varicella, unknown disease history",1 Dose,States,Connecticut,2019-20,NReq,38888.00,100,,Census,2019
Connecticut,117,0,2019,"Varicella, unknown disease history",1 Dose,States,Connecticut,2019-20,NReq,38888.00,100,,Census,2019
Connecticut,117,0,2019,"Varicella, unknown disease history",1 Dose,States,Connecticut,2019-20,NReq,38888.00,100,,Census,2019
Connecticut,117,0,2019,"Varicella, unknown disease history",1 Dose,States,Connecticut,2019-20,NReq,38888.00,100,,Census,2019
Florida,983,1,2019,"Varicella, unknown disease history",1 Dose,States,Florida,2019-20,NReq,228298.00,100,,Census,2019
Florida,983,1,2019,"Varicella, unknown disease history",1 Dose,States,Florida,2019-20,NReq,228298.00,100,,Census,2019
Florida,983,1,2019,"Varicella, unknown disease history",1 Dose,States,Florida,2019-20,NReq,228298.00,100,,Census,2019
Florida,983,1,2019,"Varicella, unknown disease history",1 Dose,States,Florida,2019-20,NReq,228298.00,100,,Census,2019
Georgia,233,0,2019,"Varicella, unknown disease history",1 Dose,States,Georgia,2019-20,NReq,130102.00,100,,Census,2019
Georgia,233,0,2019,"Varicella, unknown disease history",1 Dose,States,Georgia,2019-20,NReq,130102.00,100,,Census,2019
Georgia,233,0,2019,"Varicella, unknown disease history",1 Dose,States,Georgia,2019-20,NReq,130102.00,100,,Census,2019
Georgia,233,0,2019,"Varicella, unknown disease history",1 Dose,States,Georgia,2019-20,NReq,130102.00,100,,Census,2019
Hawaii,42,0,2019,"Varicella, unknown disease history",1 Dose,States,Hawaii,2019-20,91.8,15695.00,8.9,,Stratified 2-stage cluster sample,2019
Hawaii,42,0,2019,"Varicella, unknown disease history",1 Dose,States,Hawaii,2019-20,91.8,15695.00,8.9,,Stratified 2-stage cluster sample,2019
Hawaii,42,0,2019,"Varicella, unknown disease history",1 Dose,States,Hawaii,2019-20,91.8,15695.00,8.9,,Stratified 2-stage cluster sample,2019
Hawaii,42,0,2019,"Varicella, unknown disease history",1 Dose,States,Hawaii,2019-20,91.8,15695.00,8.9,,Stratified 2-stage cluster sample,2019
Idaho,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Idaho,2019-20,NReq,23301.00,98.5,,Census,2019
Idaho,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Idaho,2019-20,NReq,23301.00,98.5,,Census,2019
Idaho,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Idaho,2019-20,NReq,23301.00,98.5,,Census,2019
Idaho,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Idaho,2019-20,NReq,23301.00,98.5,,Census,2019
Illinois,399,0,2019,"Varicella, unknown disease history",1 Dose,States,Illinois,2019-20,NReq,145891.00,100,,Census,2019
Illinois,399,0,2019,"Varicella, unknown disease history",1 Dose,States,Illinois,2019-20,NReq,145891.00,100,,Census,2019
Illinois,399,0,2019,"Varicella, unknown disease history",1 Dose,States,Illinois,2019-20,NReq,145891.00,100,,Census,2019
Illinois,399,0,2019,"Varicella, unknown disease history",1 Dose,States,Illinois,2019-20,NReq,145891.00,100,,Census,2019
Indiana,218,0,2019,"Varicella, unknown disease history",1 Dose,States,Indiana,2019-20,NReq,88253.00,65.7,,Voluntary response,2019
Indiana,218,0,2019,"Varicella, unknown disease history",1 Dose,States,Indiana,2019-20,NReq,88253.00,65.7,,Voluntary response,2019
Indiana,218,0,2019,"Varicella, unknown disease history",1 Dose,States,Indiana,2019-20,NReq,88253.00,65.7,,Voluntary response,2019
Indiana,218,0,2019,"Varicella, unknown disease history",1 Dose,States,Indiana,2019-20,NReq,88253.00,65.7,,Voluntary response,2019
Iowa,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Iowa,2019-20,NReq,40812.00,100,,Census,2019
Iowa,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Iowa,2019-20,NReq,40812.00,100,,Census,2019
Iowa,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Iowa,2019-20,NReq,40812.00,100,,Census,2019
Iowa,N,0,2019,"Varicella, unknown disease history",1 Dose,States,Iowa,2019-20,NReq,40812.00,100,,Census,2019
Kansas,0,0,2019,"Varicella, unknown disease history",1 Dose,States,Kansas,2019-20,NReq,37865.00,34.3,,Stratified 2-stage cluster sample,2019
Kansas,0,0,2019,"Varicella, unknown disease history",1 Dose,States,Kansas,2019-20,NReq,37865.00,34.3,,Stratified 2-stage cluster sample,2019
Kansas,0,0,2019,"Varicella, unknown disease history",1 Dose,States,Kansas,2019-20,NReq,37865.00,34.3,,Stratified 2-stage cluster sample,2019
Kansas,0,0,2019,"Varicella, unknown disease history",1 Dose,States,Kansas,2019-20,NReq,37865.00,34.3,,Stratified 2-stage cluster sample,2019
Kentucky,57,0,2019,"Varicella, unknown disease history",1 Dose,States,Kentucky,2019-20,NReq,59233.00,92.9,,Census,2019
Kentucky,57,0,2019,"Varicella, unknown disease history",1 Dose,States,Kentucky,2019-20,NReq,59233.00,92.9,,Census,2019
Kentucky,57,0,2019,"Varicella, unknown disease history",1 Dose,States,Kentucky,2019-20,NReq,59233.00,92.9,,Census,2019
Kentucky,57,0,2019,"Varicella, unknown disease history",1 Dose,States,Kentucky,2019-20,NReq,59233.00,92.9,,Census,2019
Louisiana,67,0,2019,"Varicella, unknown disease history",1 Dose,States,Louisiana,2019-20,NReq,59685.00,100,,Census,2019
Louisiana,67,0,2019,"Varicella, unknown disease history",1 Dose,States,Louisiana,2019-20,NReq,59685.00,100,,Census,2019
Louisiana,67,0,2019,"Varicella, unknown disease history",1 Dose,States,Louisiana,2019-20,NReq,59685.00,100,,Census,2019
Louisiana,67,0,2019,"Varicella, unknown disease history",1 Dose,States,Louisiana,2019-20,NReq,59685.00,100,,Census,2019
Maine,93,0,2019,"Varicella, unknown disease history",1 Dose,States,Maine,2019-20,96.2,13450.00,99.6,,Census ,2019
Maine,93,0,2019,"Varicella, unknown disease history",1 Dose,States,Maine,2019-20,96.2,13450.00,99.6,,Census ,2019
Maine,93,0,2019,"Varicella, unknown disease history",1 Dose,States,Maine,2019-20,96.2,13450.00,99.6,,Census ,2019
Maine,93,0,2019,"Varicella, unknown disease history",1 Dose,States,Maine,2019-20,96.2,13450.00,99.6,,Census ,2019
Maryland,N,1,2019,"Varicella, unknown disease history",1 Dose,States,Maryland,2019-20,NReq,72443.00,98.3,,Census (public). voluntary response (private),2019
Maryland,N,1,2019,"Varicella, unknown disease history",1 Dose,States,Maryland,2019-20,NReq,72443.00,98.3,,Census (public). voluntary response (private),2019
Maryland,N,1,2019,"Varicella, unknown disease history",1 Dose,States,Maryland,2019-20,NReq,72443.00,98.3,,Census (public). voluntary response (private),2019
Maryland,N,1,2019,"Varicella, unknown disease history",1 Dose,States,Maryland,2019-20,NReq,72443.00,98.3,,Census (public). voluntary response (private),2019
Massachusetts,301,0,2019,"Varicella, unknown disease history",1 Dose,States,Massachusetts,2019-20,NReq,66756.00,100,,Census,2019
Massachusetts,301,0,2019,"Varicella, unknown disease history",1 Dose,States,Massachusetts,2019-20,NReq,66756.00,100,,Census,2019
Massachusetts,301,0,2019,"Varicella, unknown disease history",1 Dose,States,Massachusetts,2019-20,NReq,66756.00,100,,Census,2019
Massachusetts,301,0,2019,"Varicella, unknown disease history",1 Dose,States,Massachusetts,2019-20,NReq,66756.00,100,,Census,2019
Michigan,410,0,2019,"Varicella, unknown disease history",1 Dose,States,Michigan,2019-20,NReq,120565.00,100,,Census,2019
Michigan,410,0,2019,"Varicella, unknown disease history",1 Dose,States,Michigan,2019-20,NReq,120565.00,100,,Census,2019
Michigan,410,0,2019,"Varicella, unknown disease history",1 Dose,States,Michigan,2019-20,NReq,120565.00,100,,Census,2019
Michigan,410,0,2019,"Varicella, unknown disease history",1 Dose,States,Michigan,2019-20,NReq,120565.00,100,,Census,2019
Minnesota,366,0,2019,"Varicella, unknown disease history",1 Dose,States,Minnesota,2019-20,NReq,71223.00,98.7,,Census,2019
Minnesota,366,0,2019,"Varicella, unknown disease history",1 Dose,States,Minnesota,2019-20,NReq,71223.00,98.7,,Census,2019
Minnesota,366,0,2019,"Varicella, unknown disease history",1 Dose,States,Minnesota,2019-20,NReq,71223.00,98.7,,Census,2019
Minnesota,366,0,2019,"Varicella, unknown disease history",1 Dose,States,Minnesota,2019-20,NReq,71223.00,98.7,,Census,2019
Mississippi,57,1,2019,"Varicella, unknown disease history",1 Dose,States,Mississippi,2019-20,NReq,37870.00,100,,Census,2019
Mississippi,57,1,2019,"Varicella, unknown disease history",1 Dose,States,Mississippi,2019-20,NReq,37870.00,100,,Census,2019
Mississippi,57,1,2019,"Varicella, unknown disease history",1 Dose,States,Mississippi,2019-20,NReq,37870.00,100,,Census,2019
Mississippi,57,1,2019,"Varicella, unknown disease history",1 Dose,States,Mississippi,2019-20,NReq,37870.00,100,,Census,2019
Missouri,168,0,2019,"Varicella, unknown disease history",1 Dose,States,Missouri,2019-20,NReq,72324.00,100,,Census,2019
Missouri,168,0,2019,"Varicella, unknown disease history",1 Dose,States,Missouri,2019-20,NReq,72324.00,100,,Census,2019
Missouri,168,0,2019,"Varicella, unknown disease history",1 Dose,States,Missouri,2019-20,NReq,72324.00,100,,Census,2019
Missouri,168,0,2019,"Varicella, unknown disease history",1 Dose,States,Missouri,2019-20,NReq,72324.00,100,,Census,2019
Montana,47,0,2019,"Varicella, unknown disease history",1 Dose,States,Montana,2019-20,NReq,12501.00,100,,Census,2019
Montana,47,0,2019,"Varicella, unknown disease history",1 Dose,States,Montana,2019-20,NReq,12501.00,100,,Census,2019
Montana,47,0,2019,"Varicella, unknown disease history",1 Dose,States,Montana,2019-20,NReq,12501.00,100,,Census,2019
Montana,47,0,2019,"Varicella, unknown disease history",1 Dose,States,Montana,2019-20,NReq,12501.00,100,,Census,2019
Nebraska,54,0,2019,"Varicella, unknown disease history",1 Dose,States,Nebraska,2019-20,NReq,26893.00,96.7,,Census,2019
